"","ANNOVAR","pLI","mis_z","COUNT.x","MUTATIONCLASS.x","POLYPHEN2_D.x","POLYPHEN2_P.x","CADD.x","REVEL.x","MPC.x","gnomAD_genome_ALL.x","gnomAD_exome_ALL.x","dbscSNV_ADA_SCORE.x","dbscSNV_RF_SCORE.x","dpsi_zscore.x","COUNT.y","MUTATIONCLASS.y","POLYPHEN2_D.y","POLYPHEN2_P.y","CADD.y","REVEL.y","MPC.y","gnomAD_genome_ALL.y","gnomAD_exome_ALL.y","dbscSNV_ADA_SCORE.y","dbscSNV_RF_SCORE.y","dpsi_zscore.y","mut"
"1","A1BG",4.9917e-09,-0.08613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9847e-06
"2","A1CF",5.9218e-10,0.99035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0744e-06
"3","A2M",4.5229e-11,1.8713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25584e-05
"4","A2ML1",1.6109e-34,0.32706,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.32094100468135,1.44526314704891,-0.041832735943957,-1.32650048350326,-0.692886880867583,0,0,0,8.6733e-06
"5","A3GALT2",1.2823e-10,0.04645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3045e-06
"6","A4GALT",7.6668e-06,-0.18737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2789e-06
"7","A4GNT",0.16537,0.23504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48445e-06
"8","AAAS",2.4356e-13,-0.36262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.39039759628094,0.395641543637433,-0.238991333206538,0.26277308278406,0.337065545821488,1,1,1,1.21194e-05
"9","AACS",9.1275e-17,0.20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82695e-06
"10","AADAC",0.0029108,0.36435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41665e-06
"11","AADACL2",1.0604e-08,0.20938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9871e-06
